id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6620859,Grande chambre ensoleillée,34652944,Julie,,Rosemont-La Petite-Patrie,45.54318257485424,-73.58812725881373,Private room,20,2,2,2015-08-18,0.73,2,98
1689231,Private room-Little Italy/Mile-End,770853,Yan,,Rosemont-La Petite-Patrie,45.53029801134269,-73.60924807374666,Private room,31,2,2,2014-10-01,0.14,1,275
476730,Ideal for family or friends-3 bdrs,2363064,Eloy & Julie,,Rosemont-La Petite-Patrie,45.5445710267386,-73.60889422187789,Entire home/apt,110,5,14,2015-08-22,0.35,1,123
6684936,La dolce vita de la Petite Italie,20911454,Nevi,,Rosemont-La Petite-Patrie,45.53319836227821,-73.61718586038855,Entire home/apt,125,3,6,2015-08-11,2.00,1,305
7145002,Cute little apartment for two!,37417036,Lea,,Rosemont-La Petite-Patrie,45.548323983104204,-73.59169472162489,Entire home/apt,62,2,1,2015-08-10,0.56,1,72
4949525,"Bright, cozy and green - all yours!",9785943,Vicki,,Rosemont-La Petite-Patrie,45.54834961905669,-73.57139612422586,Entire home/apt,74,3,1,2015-01-17,0.12,2,269
4572679,Charming 3 1/2 in Old Rosemont,23702787,Jolyane,,Rosemont-La Petite-Patrie,45.54792482728217,-73.58926256604784,Entire home/apt,50,3,0,,,1,297
7833093,"Roomy, confortable and sunny 4br",17730966,Mike,,Rosemont-La Petite-Patrie,45.544722468720394,-73.58811730208711,Entire home/apt,150,1,0,,,4,356
4343294,Vivrez la vie montréalaise typique,22480984,Johanna,,Rosemont-La Petite-Patrie,45.54369667119979,-73.5879068311528,Entire home/apt,60,1,0,,,2,365
7128561,Cosy Artist Hide-out,19313691,Alison,,Rosemont-La Petite-Patrie,45.54930668651683,-73.58048372935795,Entire home/apt,50,2,10,2015-09-06,3.61,1,75
8471911,Private room with Queen bed,19744547,Virginie & Tristan,,Rosemont-La Petite-Patrie,45.542677898149904,-73.59722984861129,Private room,35,2,0,,,1,47
5824218,Beautiful double room in Montreal,6445761,Clau,,Rosemont-La Petite-Patrie,45.5370117284788,-73.61470075574742,Private room,40,1,0,,,1,161
8013581,Cozy 1br apartment in Rosemont,2775996,Stephanie,,Rosemont-La Petite-Patrie,45.541815214262456,-73.58457570397898,Entire home/apt,88,3,3,2015-09-13,2.73,1,359
7931203,Cosy Room - Near Olympic Stadium,39657595,Aimé Espoir,,Rosemont-La Petite-Patrie,45.559480004051956,-73.57148751484952,Private room,120,1,2,2015-09-01,1.76,1,365
50479,"Very nice, spacious and sunny flat ",231694,Noémie,,Rosemont-La Petite-Patrie,45.541763760158965,-73.60632091538717,Entire home/apt,80,3,29,2015-09-28,0.48,1,342
1426712,Charmant appartement/deux étages,7673547,Patrick,,Rosemont-La Petite-Patrie,45.55155255104506,-73.58427799065677,Entire home/apt,170,3,19,2015-09-09,0.72,1,365
165108,The Cocooning in Rosemont,787391,Karine,,Rosemont-La Petite-Patrie,45.54557231501531,-73.5712318562435,Entire home/apt,96,6,2,2015-08-07,0.04,1,146
312554,Magnifique and peaceful in Montreal,1606168,Thierry,,Rosemont-La Petite-Patrie,45.539120203322554,-73.60200494912489,Entire home/apt,139,2,29,2015-08-18,0.68,1,365
2045477,Coquet meublé rénové écolo Rosemont,6136951,Sylvie,,Rosemont-La Petite-Patrie,45.55535485088892,-73.58548628107627,Entire home/apt,89,7,13,2015-09-01,0.76,1,208
1115329,Great studio for your vacation ,6121403,Véronique & Jimmy,,Rosemont-La Petite-Patrie,45.543260683484775,-73.5602855706468,Entire home/apt,70,2,88,2015-09-16,3.01,1,337
5850314,Comfortable room - La Petite Patrie,7288594,Hugo,,Rosemont-La Petite-Patrie,45.54422824887882,-73.60120799029045,Private room,31,1,14,2015-09-14,3.68,1,243
4506822,"Bien situé, propre, stationnement!",23370685,Jean-François,,Rosemont-La Petite-Patrie,45.54737798714912,-73.58903546990263,Private room,40,1,2,2015-08-03,0.45,1,365
